arxiv_id,title,link,label,labeled_at
2608.27468v1,Multimessenger Constraints on the Central Engine in SN 2023ixf: Neutron Star or Black Hole?,https://arxiv.org/abs/2608.27468,1,2026-09-01T19:21:53.893733+00:00
2608.27478v1,Quantum speed limit time of a uniformly accelerated Unruh-DeWitt detector,https://arxiv.org/abs/2608.27478,0,2026-09-01T19:22:20.061525+00:00
2608.27498v1,Quantum Information at Infinity,https://arxiv.org/abs/2608.27498,1,2026-09-01T19:22:37.736509+00:00
2608.27503v1,Quantized Low-Rank Quantum State Tomography: Hyperbolic Quantization and Riemannian Least-Squares Recovery,https://arxiv.org/abs/2608.27503,0,2026-09-01T19:23:07.180277+00:00
2608.27543v1,Reverse Quantum Mechanics,https://arxiv.org/abs/2608.27543,1,2026-09-01T19:23:19.180543+00:00
2608.27551v1,Detecting Axion-Like Particles With Coiled Optical Fibers I: Silica Fibers,https://arxiv.org/abs/2608.27551,1,2026-09-01T19:23:33.825624+00:00
2608.27553v1,Imperfect axions with no domain wall problem,https://arxiv.org/abs/2608.27553,0,2026-09-01T19:24:07.092153+00:00
2608.27555v1,"A first-principles binary neutron star merger model of GW170817, GRB170817A, and AT2017gfo",https://arxiv.org/abs/2608.27555,1,2026-09-01T19:24:24.199520+00:00
2608.27557v1,Discovering Substellar Dark Matter Halos with Astrometric Weak Lensing of Multiply Imaged Quasars,https://arxiv.org/abs/2608.27557,1,2026-09-01T19:24:52.432062+00:00
2608.27558v1,KOFFEE: Kaon Observables at Future Fermilab Experimental Extensions,https://arxiv.org/abs/2608.27558,1,2026-09-01T19:25:12.177903+00:00
2608.27559v1,Next-to-Leading-Order Electroweak Corrections to Quantum Observables in Lepton-Lepton Collisions,https://arxiv.org/abs/2608.27559,1,2026-09-01T19:25:31.479917+00:00
2608.27560v1,"Resolved Dust in $z\approx1$ Galaxies with JWST/MIRI MRS: Survey Description and First View on PAHs, Mid-IR Atomic Emission, and Warm H$_2$",https://arxiv.org/abs/2608.27560,1,2026-09-01T19:25:57.861967+00:00
2608.27561v1,Pulling strings in real time: flux tube dynamics in (2+1)-d $\mathbb{Z}_2$-Higgs Gauge Theories,https://arxiv.org/abs/2608.27561,0,2026-09-01T19:26:15.236501+00:00
2609.02922v1,The influence of standard relativistic effects on Gaia-like astrometric catalogs,https://arxiv.org/abs/2609.02922,1,2026-09-04T14:31:17.617529+00:00
2609.04254v1,Fixed ADM reconstruction of extended uncertainty principle black holes,https://arxiv.org/abs/2609.04254,0,2026-09-07T15:38:21.511860+00:00
2609.04293v1,"Design optimization, commissioning, and uncertainty analysis of the quadrupole resonator system at Jefferson Lab for SRF material characterization",https://arxiv.org/abs/2609.04293,0,2026-09-07T15:38:57.901615+00:00
2609.04296v1,"Dark matter glueball candidate from a $G(2)$--$E_6$--$E_7$ exceptional grand unified theory: $G$-parity, spin, mass and stability",https://arxiv.org/abs/2609.04296,1,2026-09-07T15:40:35.911062+00:00
2609.04305v1,TNFlow: Amortized Posterior Inference for Trans-Neptunian Object Surface Composition,https://arxiv.org/abs/2609.04305,0,2026-09-07T15:41:55.171518+00:00
2609.04306v1,Hadronization effects and electroweak contributions in DIS one-jettiness,https://arxiv.org/abs/2609.04306,1,2026-09-07T15:44:38.640923+00:00
2609.04307v1,Nebular Spectra of the Extremely Metal-Poor SN II 2023ufx Over a Year After Explosion: A Massive Progenitor and Unique Circumstellar Environment,https://arxiv.org/abs/2609.04307,1,2026-09-07T15:45:57.952681+00:00
2609.04308v1,Supernova microlensing as a probe of ultracompact minihalos and primordial cosmology,https://arxiv.org/abs/2609.04308,1,2026-09-07T15:46:14.139214+00:00
2609.04309v1,Strong-Drive Floquet Engineering of Interacting Qudits: From Finite-Duration Controls to Emergent Symmetry,https://arxiv.org/abs/2609.04309,1,2026-09-07T15:47:38.779165+00:00
2609.04310v1,A Swift X-ray view of the SMS4 sample - III: Deeper insight into previously undetected sources,https://arxiv.org/abs/2609.04310,0,2026-09-07T15:48:21.409949+00:00
2609.04311v1,Development of quantum technologies for optical/infrared interferometry,https://arxiv.org/abs/2609.04311,1,2026-09-07T15:51:47.654033+00:00
2609.04312v1,ALPACA I: Controlling source and PSF systematics in JWST time-delay cosmography with differentiable lens modeling,https://arxiv.org/abs/2609.04312,0,2026-09-07T17:40:10.110960+00:00
2609.04313v1,It's All About the Environment: Local f_ NL from a Dark Matter Conditioned Multitracer Analysis,https://arxiv.org/abs/2609.04313,0,2026-09-08T19:06:36.087486+00:00
2609.04315v1,JWST/NIRSpec Reveals Diverse Nuclear Environments in Dwarf Galaxies Hosting AGN,https://arxiv.org/abs/2609.04315,1,2026-09-08T19:07:00.055563+00:00
2609.04316v1,A Kinematic Measurement of the Effective Viscosity of the Intracluster Medium: The Cold Front of A3667 Seen by XRISM,https://arxiv.org/abs/2609.04316,0,2026-09-08T19:07:09.989864+00:00
2609.04317v1,Super-Eddington Accretion and Early-Stage Feedback in Ton S180,https://arxiv.org/abs/2609.04317,0,2026-09-08T19:21:55.880637+00:00
2609.04320v1,Resolved Dust-Gas-Metallicity relations in nearby spiral galaxies,https://arxiv.org/abs/2609.04320,0,2026-09-08T19:22:06.391149+00:00
2609.04321v1,"Reply to the Comment on ""The Axiom of Choice and the No-Signalling Principle""",https://arxiv.org/abs/2609.04321,0,2026-09-08T19:22:29.955146+00:00
2609.04322v1,AGN-DB: A Unified Multi-Wavelength Database of Active Galactic Nuclei,https://arxiv.org/abs/2609.04322,0,2026-09-08T19:22:38.216054+00:00
